Index, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
1,0.3951596025632082,1.0018456138392462,1.0006985543407267,1.0789837611068613,1.0456490918187007,1.0000354385119394
3,0.4038638225400437,1.0018329870124254,1.0007316093230108,1.077134376255344,1.0465714252950378,1.0000373704556076
5,0.42284574657300034,1.0018741837611087,1.0007391181846605,1.0737383039461619,1.0469194033525362,1.0000387019127748
7,0.43425375742747285,1.001865154295532,1.0007310137264984,1.0715654179128409,1.0462313812368176,1.0000382327847472
9,0.4492409586453331,1.0018142877936684,1.0007426810417932,1.0685998323391526,1.0445362618799199,1.0000364362865375
11,0.4580161990948218,1.0018393175833458,1.0007170814997837,1.0670855103149193,1.044530339777941,1.000035911543178
13,0.42326406138209544,1.0018316690080071,1.0007469089927832,1.073432890564039,1.045694652232144,1.0000378372953689
15,0.41822616933096507,1.0018291661818512,1.0007490405173902,1.0744788499955533,1.046577309346072,1.0000383246574152
17,0.41355591146154164,1.0018677148881574,1.0007768070836536,1.0756797675113587,1.047398051016284,1.0000380799037423
19,0.4284553720224045,1.0019025066956484,1.0007786765035576,1.0728855435298743,1.0471636826242798,1.000039896789417
21,0.4209533392026161,1.0019321233851308,1.0007633775110851,1.0742601298027938,1.0468931202705358,1.0000392511755132
23,0.43142362427917275,1.001960588932715,1.000799796729498,1.072373386750284,1.0460950044756856,1.0000395628643037
25,0.4066058255039577,1.0020305270982646,1.0008077011641852,1.0772470314396092,1.047869610303152,1.000040469580658
27,0.4155637257777288,1.0020132034289653,1.0008108178660988,1.0750843550971902,1.0467937319036393,1.0000393821335283
29,0.442582709808806,1.0019426063042804,1.0007801957612603,1.069888141552531,1.0464118297570708,1.0000377518361192
31,0.4208591035477168,1.001915958461828,1.0007372532261334,1.0748162449958298,1.0476414892632437,1.000039009212297
33,0.4468547099068291,1.0018618754627988,1.0007359968088536,1.0694603831701928,1.0461520357100957,1.0000368983803885
35,0.42020985035758623,1.0018183838378196,1.0007341669588892,1.0746423361553685,1.0451154902052233,1.0000368249216176
37,0.4310455366559116,1.0018893082739702,1.0007400224844638,1.0726804140488984,1.0472530278670398,1.0000395054191364
39,0.4424613406097401,1.0018533029664745,1.0007409011158725,1.0704247216232312,1.0463236828981686,1.0000384766130301
41,0.46133627881635847,1.001869344923809,1.0007230441617672,1.0667060293201167,1.0467010867220201,1.000037813402047
43,0.4363171486391678,1.0018261281980325,1.0007250945407387,1.0715015184301437,1.0476261327650296,1.000037023137687
45,0.4263380566378343,1.0017306723983836,1.0006917391024481,1.0729570117772358,1.0458874915936256,1.000034914011482
47,0.4202933996202436,1.0017918914287784,1.000721771793553,1.0744591359529212,1.0471025296833198,1.0000368480933992
49,0.4149671355734382,1.0018332298396468,1.0007494843737674,1.0756415132016872,1.04732949344022,1.000037677348583
51,0.4365760146998414,1.0017748186800324,1.0007129168453486,1.0712351995427547,1.0457937096797916,1.0000361902807464
53,0.43724109178324005,1.0018521370818088,1.0007550332445942,1.0710791879313295,1.0468527034234476,1.0000353202918768
55,0.49702989477762644,1.0017284464612224,1.000690823593489,1.0603356567997302,1.0437466254784515,1.000032519125179
