Index, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
1,345.70375061035156,0.7329753648541483,0.7238554209074406,22.7437626955,0.11810255517239417,0.9753154135422178
2,169.38143412272134,0.7904062766187031,0.7889522543556201,25.8421455523,0.15544934319719897,0.9863537497612889
3,47.71702194213867,0.9120913902133418,0.9198116335105035,31.3440702969,0.3377012870713319,0.9957194782269565
5,7.526278177897136,0.9716726131019294,0.9803098278156822,39.3650009468,0.6082842772313096,0.9995242314005349
6,10.8583132425944,0.9561583833970531,0.9691738681566322,37.7731799476,0.5289391084798184,0.9993102010053038
7,5.238197326660156,0.9774500026544674,0.9856110174281981,40.9389850629,0.6462013593130932,0.9996689668186655
9,4.282808939615886,0.9827781910178454,0.9892592901296424,41.8135166035,0.6911824791868587,0.9997262765764291
10,7.419116973876953,0.9716946622143485,0.9810592584191861,39.4272814241,0.6111309285042413,0.9995131023201478
11,4.009412129720052,0.9833804814662335,0.9900961527158249,42.0999966095,0.6927555168000362,0.9997473330406059
13,4.325777689615886,0.9835284113585764,0.9895934503351894,41.7701616446,0.6987643730437366,0.9997163418351529
14,7.070465087890625,0.9736515419654702,0.9822076635774684,39.6363237869,0.625417878310764,0.9995244653209564
15,4.349057515462239,0.9834491533405437,0.9897482819478265,41.746852097,0.6973153408377112,0.9997085075778923
