Index, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
1,0.9328213969461266,1.000061053142663,1.0000352859779678,1.0061022791953542,0.9823630419161038,0.9999992404906135
2,0.8015944372844461,1.0002793494946298,1.000129585757652,1.019793703830383,1.0071450040464645,1.0000134686360287
3,0.7634651650540193,1.0003615894702438,1.0001138953049422,1.0240398892491382,1.044895953791272,1.0000208493326062
5,0.7074445282803691,1.0004259390330923,1.0001968381838282,1.0318678148798972,1.0046751625497863,1.0000355601184574
6,0.4208538059554637,1.001384029233716,1.000570392174867,1.0834442865491698,1.1405305011629427,1.0001396278726133
7,0.4734410663536601,1.0015701119240636,1.0006612749514923,1.0727238587295884,1.1053838470536417,1.0001697627317805
9,0.4949489159266938,1.0014281812218548,1.000564881158438,1.0680365096886972,1.122870921578588,1.0001395846421692
10,0.23331978569023773,1.0037097010072344,1.0015504823971277,1.1478967495946892,1.3567718684292502,1.000381530422603
11,0.558093547761177,1.00085991974722,1.0003387795325784,1.054041699341561,1.0534229678710267,1.0000747179140779
13,0.5688619065301046,1.0009629418441717,1.0003234941656831,1.0529239192329314,1.0747396030996652,1.0000856029114917
14,0.3338392220724963,1.0028366445055736,1.001065098259624,1.1076756261509446,1.192605057143871,1.0002330987296837
15,0.6368465148868931,1.0012688805055945,1.0005205302855007,1.0433393770368586,1.0717808802887099,1.0001006195931972
17,0.623886946532642,1.0011347666394161,1.000455469317881,1.0452612457283366,1.0621922082513382,1.0000935173797512
18,0.3590721825785489,1.003407520529768,1.001467711052905,1.1034866481714476,1.2359928849674868,1.0003085693538414
19,0.5585378612366767,1.0019833487534013,1.0008643857059243,1.057429417886633,1.1075972537932182,1.0001583494535848
21,0.6430086542370912,1.0018998768214855,1.0010387614733647,1.044635069540867,1.1033291344105334,1.000166620875467
22,0.4451674820117956,1.0047544823084502,1.002854669818743,1.0858248799861319,1.2306468971424538,1.00042585733136
23,0.5857436469060676,1.0032312235277117,1.0016840315767386,1.055432947138044,1.0748578617439841,1.0002212577763527
25,0.6039589304738183,1.0029105356362482,1.0017394691179602,1.0523016954753797,1.1166877093926526,1.000219455122598
26,0.4661742078820936,1.0076389520268394,1.005842218452547,1.0873811904777833,1.2690118076861139,1.000742341268043
27,0.5066235481055434,1.0071996475131417,1.0062173247349706,1.0760628519777442,1.1041259021005758,1.0004932833935476
29,0.6281366675537656,1.0037130991623302,1.0026683755865942,1.0499292966591502,1.107320036718466,1.0002538718748897
30,0.4819955714104999,1.0068713369561562,1.0078280638956862,1.0837557542838505,1.2171988488352268,1.0006902148411647
31,0.433193912482892,1.0058004832136238,1.0069072901918268,1.0939769611272898,1.102821418755036,1.000544692607512
33,0.5206516430002486,1.006208565209399,1.0057425401360143,1.0750491279099215,1.153434817638593,1.0005355351569585
