Index, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
1,2.089752197265625,0.9938390946314989,0.9980326811043214,44.9298557033,0.7651317742350977,0.9997989795130282
2,3.665898640950521,0.9902093800507944,0.9965864628855035,42.4889990796,0.6894771386039965,0.9996361053441101
3,2.098297119140625,0.9934469670489596,0.9978286220730201,44.912133765,0.7533514837500362,0.9997916920650635
5,2.106675465901693,0.993962277566455,0.9980719477893473,44.8948272333,0.7645455991264466,0.9997965732378019
6,3.663995107014974,0.9903827378358411,0.99665660908283,42.4912547584,0.6891169277559008,0.999635888822139
7,2.1053848266601562,0.9936357419807624,0.9978763197371051,44.8974887218,0.7542976607316282,0.9997934360732219
9,2.1328608194986978,0.9938943397660566,0.9979946430646086,44.8411784452,0.7632184297542128,0.9997983877678424
10,3.675095876057943,0.9902197189140999,0.9964824641634408,42.4781168741,0.6879992599812033,0.9996371179780602
11,2.1072095235188804,0.9935336487816587,0.9977545275209515,44.8937264045,0.753334731765102,0.9997941208066142
13,2.061450958251953,0.9942030285454342,0.9981879999824556,44.9890735344,0.7665206993793993,0.9998021939556806
14,3.6226768493652344,0.9907267740533078,0.9967610920929509,42.5405076512,0.6917139951038007,0.9996407068843407
15,2.0782508850097656,0.9937550360043493,0.9979355120647849,44.9538238675,0.7551446029631913,0.9997947576899288
17,2.1176414489746094,0.9939197325529481,0.9980515986045162,44.8722793197,0.7652138940276952,0.999797677245906
18,3.6530253092447915,0.9904433780360317,0.9967188176336255,42.5042767972,0.6927691890049333,0.9996342644545072
19,2.103509267171224,0.9934927608404794,0.9978580824735497,44.9013593119,0.7550687059919042,0.999786815702974
21,2.1304397583007812,0.9937924760922323,0.9980529172098368,44.8461110255,0.7628284559944891,0.9997964754768028
22,3.718573252360026,0.9900446423103926,0.9965769068854037,42.4270401977,0.6887918527870737,0.9996302221049761
23,2.1748046875,0.9931380816022265,0.9977586439649236,44.7566010047,0.7502296108203637,0.999784836770392
25,2.134857177734375,0.9937455238966016,0.9980402877289393,44.837115349,0.7627039832322322,0.9997966373661162
26,3.6983642578125,0.9902107693012839,0.9966607961028675,42.4507067758,0.6892544121182645,0.999638885758678
27,2.133427937825521,0.9933680381777075,0.9978354620515218,44.8400238287,0.7510876783803079,0.9997934862472196
29,2.124273935953776,0.9937544693779573,0.9980042678736843,44.8586984036,0.764294264361089,0.999797810392942
30,3.6331609090169272,0.9903375856875499,0.9966472248753999,42.5279572812,0.6914453493948849,0.9996434282129988
31,2.071467081705729,0.9935309161919719,0.9978782297876693,44.9680232468,0.7545794601497006,0.9997980770178998
33,2.137322743733724,0.9940712697675473,0.9981333437992818,44.8321025366,0.7645892320084448,0.999798077450896
