Avg time per img, Total time, width, height, interp img num, Dataset
22.2312542968,5246.57601404,1318,927,236,/1skip/Asteroid
22.1164891187,1879.90157509,512,512,85,/1skip/MPAS/tempSurface/0
24.8176250458,24.8176250458,640,480,1,/1skip/Middlebury/Beanbags
22.0833010674,22.0833010674,584,388,1,/1skip/Middlebury/Dimetrodon
23.8123660088,23.8123660088,640,480,1,/1skip/Middlebury/DogDance
23.3363521099,23.3363521099,640,480,1,/1skip/Middlebury/Grove2
23.7765171528,23.7765171528,640,480,1,/1skip/Middlebury/Grove3
21.84877491,21.84877491,584,388,1,/1skip/Middlebury/Hydrangea
23.8198559284,23.8198559284,640,480,1,/1skip/Middlebury/MiniCooper
22.0843648911,22.0843648911,584,388,1,/1skip/Middlebury/RubberWhale
23.5163488388,23.5163488388,640,480,1,/1skip/Middlebury/Urban2
23.4171669483,23.4171669483,640,480,1,/1skip/Middlebury/Urban3
15.6912009716,15.6912009716,420,380,1,/1skip/Middlebury/Venus
23.5830049515,23.5830049515,640,480,1,/1skip/Middlebury/Walking
22.0137440264,176.109952211,512,512,8,/1skip/Nyx
22.0725074106,1081.55286312,512,512,49,/1skip/ViscousFingers
8.3174613034,2944.3813014,1318,927,354,/3skip/Asteroid
8.22431597256,1036.26381254,512,512,126,/3skip/MPAS/tempSurface/0
8.21547043324,98.5856451988,512,512,12,/3skip/Nyx
8.23578528232,592.976540327,512,512,72,/3skip/ViscousFingers
4.33991351601,1792.38428211,1318,927,413,/7skip/Asteroid
4.26886345091,627.522927284,512,512,147,/7skip/MPAS/tempSurface/0
4.24271299158,59.3979818821,512,512,14,/7skip/Nyx
4.24375386465,356.475324631,512,512,84,/7skip/ViscousFingers
