Index, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
1,126.69175425701937,0.9844316168928513,0.9950430971695365,27.1033201116,0.6606129557271925,0.9850103897720449
3,126.69175425701937,0.9844316168928513,0.9950430971695365,27.1033201116,0.6606129557271925,0.9850103897720449
5,126.69175425701937,0.9844316168928513,0.9950430971695365,27.1033201116,0.6606129557271925,0.9850103897720449
7,115.09368907484617,0.9851206821339171,0.9951918664124348,27.5202885023,0.6532315873362345,0.9864669688220494
9,11.374061415010484,0.991728226972692,0.9979196675997921,37.5716479194,0.5651320817237072,0.9996373303855712
11,12.093877869501425,0.9912653734334403,0.9978295647361773,37.3051478232,0.5550037710535337,0.9995379264349454
13,12.454772767080323,0.9910405366116123,0.9979065581983223,37.1774455247,0.5486186094872147,0.9994872377463881
15,12.666053084037085,0.9907030795237315,0.9978620063785143,37.1043905702,0.5430699367419202,0.9994141904774342
17,12.589323607680342,0.9906465342880669,0.9979676318842197,37.1307796367,0.5398774473215466,0.9993615637202877
19,12.783185707917207,0.9903564106137649,0.9978962102885337,37.0644126268,0.5344051311607411,0.9993149189123347
21,13.166771158506208,0.9900811077598934,0.9978019800247325,36.9360107338,0.5296622602782047,0.9992881156415385
23,13.555371671743933,0.9898890861002815,0.9977573309058825,36.8096893096,0.5269335707275163,0.9992808773480988
25,13.68357060892824,0.9898351143113313,0.9978035769187936,36.7688092332,0.5262065021967879,0.99924791011844
27,14.089717293644986,0.9896243267480581,0.9976928634082927,36.6417808167,0.5238310009442014,0.9992180135167904
29,14.316325717706157,0.9896247961265084,0.9977284198898296,36.5724879019,0.5229913096444758,0.9991771428375357
31,14.658875340416952,0.989470969449665,0.9977100911279279,36.4697970927,0.5218864596534228,0.9991204112582901
33,14.850206992059166,0.9893373905583652,0.9977050898227288,36.4134785369,0.5213599153285052,0.9990810671870666
35,15.297628499044295,0.9891223094418731,0.9976327609254659,36.2845625094,0.5193302681995603,0.9990565829742056
37,15.384790244227167,0.9891689730069899,0.9976357058903442,36.259887814,0.5195249368182521,0.9990198752867968
39,15.634577304590712,0.9891381903094792,0.9976750034664812,36.1899421669,0.5199660910113573,0.9990184533508314
41,15.857493047063889,0.9889633870556477,0.9976350838931796,36.1284583122,0.5184922101197124,0.9989711364228974
43,16.132504110103298,0.9887937195362504,0.9975981238566536,36.0537857644,0.5172765779400984,0.9989491957872437
45,16.4020202119411,0.9885040101782536,0.9975039427640251,35.9818301813,0.5143469051078222,0.9989043625052201
47,16.735148381140394,0.9883563018350805,0.9974985210083405,35.8945079351,0.5134880620950585,0.9989106736077789
49,17.220930124697233,0.9880910746611024,0.9973758495058137,35.7702375631,0.5115192591727206,0.9988794840020266
51,17.5461013630865,0.9880324531056949,0.9973943057021611,35.6889972694,0.5119847499614193,0.9989114450437063
53,17.8836820305138,0.9878377911628321,0.9973481776884746,35.606234213,0.5113456704871226,0.998903314959047
55,18.330556796907697,0.9875909185781407,0.9972606383367139,35.4990470386,0.5082163465679709,0.9988721681066187
57,18.59976624384303,0.9874561594391458,0.9972353635944776,35.435728747,0.5072343693812186,0.9988610245437511
59,18.989499797836938,0.9872576821610256,0.9971845999327156,35.3456683573,0.5057105235720902,0.9988513690230431
61,19.25043611019715,0.9871336476580345,0.9971430549530035,35.2863978816,0.5047158262445972,0.9988079478407851
63,19.62393386948833,0.986922369206609,0.9971165656021512,35.2029428919,0.5037415158861517,0.9988098778800851
65,20.23240294672444,0.9865379782690908,0.996976821349274,35.0703289508,0.5003811121437055,0.9987705583936531
67,20.64976872654731,0.9862977482852813,0.99691800962075,34.9816516886,0.49917176980597033,0.998756635885262
69,21.267265571330277,0.9858334649089461,0.9967730204353771,34.8536870658,0.4961945466358572,0.9987170672291299
71,21.681903377514555,0.9853976350395287,0.996660712182194,34.7698295615,0.4930901031170228,0.9986504440408183
73,22.091986376228462,0.9851188493128448,0.9965493597153987,34.6884559414,0.49035027496065453,0.9986365086538118
75,22.47095372402914,0.9848074999110027,0.9964999633222403,34.614588555,0.487950577197039,0.9986195323446306
77,22.90870441577603,0.9844991737944522,0.9963403286685323,34.5307983218,0.4853823924405381,0.9986002189416907
79,23.828267525300394,0.984007838823937,0.9962453012229687,34.3598789349,0.48213271081654824,0.9985673777384941
81,24.405549471565944,0.9836507667974305,0.9960979051200417,34.2559177097,0.4793670306961227,0.9985264009534717
83,24.961017177585383,0.9832476618724271,0.9960385164033366,34.1581808172,0.47630519250474485,0.9984555350164261
85,25.19935815273706,0.9828718807176321,0.9959544414645213,34.1169088176,0.47511718050802626,0.9984114639073475
87,25.78922577276217,0.9825634319797626,0.9958565348330438,34.0164205664,0.47328904049992127,0.9983890257596119
89,26.36288297077666,0.9820147429945667,0.995652459298461,33.9208745913,0.4703536056432154,0.9983404088853107
91,26.793269579669982,0.9817211621992676,0.9955872765740005,33.8505464712,0.46929281001817036,0.9982967845947467
93,27.233077369250154,0.9814037805295945,0.9954404969528609,33.7798364098,0.46691230699457803,0.9982649696698594
95,27.558065542301733,0.9811844318832948,0.9953202739947703,33.7283163217,0.466104135654485,0.9982230709007349
97,27.29231305645997,0.9812453771441888,0.9954350426170091,33.7704001666,0.4668309339810412,0.9982346695236961
99,27.343696577523943,0.9813609657011723,0.9955816555206083,33.7622313466,0.4673657919052799,0.9982640472274746
