Avg time per img, Total time, width, height, interp img num, Dataset
7.97255756895,1881.52358627,1318,927,236,/1skip/Asteroid
8.00687042685,680.583986282,512,512,85,/1skip/MPAS/tempSurface/0
22.3839168549,22.3839168549,640,480,1,/1skip/Middlebury/Beanbags
21.1807670593,21.1807670593,584,388,1,/1skip/Middlebury/Dimetrodon
21.8356471062,21.8356471062,640,480,1,/1skip/Middlebury/DogDance
21.8757638931,21.8757638931,640,480,1,/1skip/Middlebury/Grove2
21.7455170155,21.7455170155,640,480,1,/1skip/Middlebury/Grove3
21.3577840328,21.3577840328,584,388,1,/1skip/Middlebury/Hydrangea
21.8429079056,21.8429079056,640,480,1,/1skip/Middlebury/MiniCooper
21.2519030571,21.2519030571,584,388,1,/1skip/Middlebury/RubberWhale
21.7271318436,21.7271318436,640,480,1,/1skip/Middlebury/Urban2
21.6835529804,21.6835529804,640,480,1,/1skip/Middlebury/Urban3
20.2091798782,20.2091798782,420,380,1,/1skip/Middlebury/Venus
21.7886941433,21.7886941433,640,480,1,/1skip/Middlebury/Walking
9.62288758159,76.9831006527,512,512,8,/1skip/Nyx
8.16204213123,399.94006443,512,512,49,/1skip/ViscousFingers
4.19807419534,1486.11826515,1318,927,354,/3skip/Asteroid
4.22493637176,532.341982841,512,512,126,/3skip/MPAS/tempSurface/0
5.26911240816,63.2293488979,512,512,12,/3skip/Nyx
4.32589403126,311.464370251,512,512,72,/3skip/ViscousFingers
3.09490955482,1278.19764614,1318,927,413,/7skip/Asteroid
3.13297691151,460.547605991,512,512,147,/7skip/MPAS/tempSurface/0
4.04745900631,56.6644260883,512,512,14,/7skip/Nyx
3.20020047256,268.816839695,512,512,84,/7skip/ViscousFingers
