Dataset, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
/Beanbags,0.30231109689934454,1.0416359403916873,1.0497367962341648,1.2142105379239265,1.1057305269753415,1.0068209362531018
/Dimetrodon,0.05538717223966274,1.1298601579311713,1.028576614932893,1.4348879274193176,2.1192433482112745,1.0073573740502724
/DogDance,0.2814352558961491,1.0669372169976132,1.0592900931438223,1.2247490378041603,1.1940267603252879,1.0125498395660457
/Grove2,0.034519422159820484,1.8263938279830543,1.1598973678541915,1.6987890605110536,4.432536839512206,1.0497535247077967
/Grove3,0.07616903956440906,1.6797092141615761,1.2177548596872085,1.5916066053483324,3.9398005814714145,1.066983196126743
/Hydrangea,0.07604029030331147,1.3393173480555451,1.1057624996700948,1.4420099193394624,3.3784818724000227,1.0102228392299664
/MiniCooper,0.1513826708144633,1.0759878946194141,1.0530834472105814,1.3756906356296807,1.1369093430202764,1.0178098375084346
/RubberWhale,0.06461815611849822,1.0640800890830173,1.0177828738602746,1.3624154993828161,1.6194446976215975,1.0027158217514964
/Urban2,0.028576318308653134,1.4945873839594284,1.2270462318129638,1.6335323811644773,3.0976679673076677,1.0381378488202597
/Urban3,0.044319545867850675,1.4366337141059429,1.1959971134187135,1.550885704107417,3.289571842620394,1.0543104668200585
/Venus,0.053362008310582035,1.371166728984949,1.104314599129217,1.5677189849757829,2.8676513635059453,1.0255909215688044
/Walking,0.5170621148973751,1.0200910476048242,1.0173366622107014,1.1014269632584348,1.1836193004775968,1.003058266091219
