Index, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
1,310.0067621866862,0.7025641242764845,0.6466260534042539,23.2170919365,0.036873421136642826,0.9782654405415346
2,189.2027359008789,0.7180569076151616,0.6442875775231713,25.3615294879,0.059313642680122076,0.9861543261329198
3,93.21378580729167,0.7771831900200626,0.7436674003223125,28.4360021399,0.11644743868209856,0.9932278197409721
5,10.681757609049479,0.9686338298106126,0.976554609450763,37.8443764215,0.6418274988300164,0.9993001971481452
6,14.863661448160807,0.9541646360854547,0.9628608624803835,36.409545561,0.5741145773629316,0.9990306588748613
7,7.788633982340495,0.9747020114709043,0.9824598338739416,39.2161906571,0.675003676605859,0.999514717393775
9,5.382737477620442,0.9857867495369085,0.9904279686583748,40.8207716158,0.7444741286057776,0.9996501599563237
10,8.493082682291666,0.9780452439080771,0.9836992634751129,38.840150088,0.6821929148917788,0.9994445082809955
11,5.476826985677083,0.9859663579660838,0.9904675388593701,40.7455133919,0.7477062193173557,0.999647030671795
13,4.1166839599609375,0.9875757327686311,0.9930423879606032,41.9853283361,0.7533306079920656,0.999741738214281
14,6.268175760904948,0.9800835100222954,0.987970708368505,40.159391952,0.692146015080509,0.9996308927034905
15,4.37570063273112,0.9869214294609702,0.9929792723853887,41.7203275915,0.7482601168177089,0.9997344346189555
