Avg time per img, Total time, width, height, interp img num, Dataset
3.92763269958,926.921317101,1318,927,236,/1skip/Asteroid
3.09367110028,262.962043524,512,512,85,/1skip/MPAS/tempSurface/0
5.51026701927,5.51026701927,640,480,1,/1skip/Middlebury/Beanbags
3.45374512672,3.45374512672,584,388,1,/1skip/Middlebury/Dimetrodon
3.43431901932,3.43431901932,640,480,1,/1skip/Middlebury/DogDance
3.38092398643,3.38092398643,640,480,1,/1skip/Middlebury/Grove2
3.33986186981,3.33986186981,640,480,1,/1skip/Middlebury/Grove3
3.35162997246,3.35162997246,584,388,1,/1skip/Middlebury/Hydrangea
3.38809585571,3.38809585571,640,480,1,/1skip/Middlebury/MiniCooper
3.37099695206,3.37099695206,584,388,1,/1skip/Middlebury/RubberWhale
3.43285489082,3.43285489082,640,480,1,/1skip/Middlebury/Urban2
3.41264104843,3.41264104843,640,480,1,/1skip/Middlebury/Urban3
3.26434898376,3.26434898376,420,380,1,/1skip/Middlebury/Venus
3.41426897049,3.41426897049,640,480,1,/1skip/Middlebury/Walking
3.14869660139,25.1895728111,512,512,8,/1skip/Nyx
3.08877818925,151.350131273,512,512,49,/1skip/ViscousFingers
3.93288690626,1392.24196482,1318,927,354,/3skip/Asteroid
3.10080479819,390.701404572,512,512,126,/3skip/MPAS/tempSurface/0
3.14410336812,37.7292404175,512,512,12,/3skip/Nyx
3.08783083492,222.323820114,512,512,72,/3skip/ViscousFingers
3.94255914007,1628.27692485,1318,927,413,/7skip/Asteroid
3.09785012323,455.383968115,512,512,147,/7skip/MPAS/tempSurface/0
3.13815942832,43.9342319965,512,512,14,/7skip/Nyx
3.09442351262,259.93157506,512,512,84,/7skip/ViscousFingers
